Pr_id,Pr_type,Sha,Labeler 1,Labeler 2,Final_label,Pr_state
2770730384,fix,0754575a439d465fc355ae01a7c8e92c4dd0eb36,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Closed
2770730384,fix,2ddc340525e7c074f0a94b24ffed2085a09a739d,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2770730384,fix,35e9275183e0487d70bad707f06a9aaca61909b0,Functional Correctness Repair,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Closed
2770730384,fix,3bffba8015bdce85848f53a57b34fe1561c4291a,Project Integration and Environment Maintenance,Functional Correctness Repair,Functional Correctness Repair,Closed
2770730384,fix,3e459728f91cc33d01f403ebf99abf2ae90563d0,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2770730384,fix,7ba976c2e5f0ce1d002a7e3f1cbaa40e585dafa7,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Closed
2770730384,fix,81c0722b232d4c34676559dfd58d47e8c3c1865d,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Closed
2770730384,fix,88ecf08fb4f3b1c49ec9758fb3631548e39ee095,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Closed
2770730384,fix,93e1365d68f11edce8a4869947164ea84fd57d70,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2770730384,fix,9722e83923bce113b77de126c7f50d5949874aeb,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2770730384,fix,adb107553e9dc3b2f6b50f43de3c6e239c5ba7af,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2770730384,fix,bda5aee30346cedc7993cf546ff94d4d16f63c61,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2770730384,fix,c6d34da4f6ebffa9f12c21cf9ed856eba4997409,Project Integration and Environment Maintenance,Test and Validation Adjustment,Project Integration and Environment Maintenance,Closed
2770730384,fix,cb3cba670ee61c85b497aefc8282b32f1c4e2bad,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2770730384,fix,eafcf85ec858d7a10fa2ab8f73618fce639f5540,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2770730384,fix,f276a3f179d9f3302419cad8bff170c96c11866f,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Closed
2770730384,fix,f28433238ab0b41e187ea225ce539e57c3b709e7,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2770730384,fix,f6770be767204cf31bc5fa34c3a10a12621e790a,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2776793311,feat,059afcae607b447caadeff198461774bd1348f1a,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Closed
2776793311,feat,7f7ff31f49ae12b8c502a6e197bfb509879728f3,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Closed
2776793311,feat,82ae1087c621ff00f38f111ff662bd03df879dfb,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2776793311,feat,a1e893f3bef2db8b730c9316642339dbf0c8cae2,Feature Completion or Extension,Feature Completion or Extension,Feature Completion or Extension,Closed
2776793311,feat,fabd9f86b1b085dc939578cc5df11d0044668b48,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2776797524,feat,059afcae607b447caadeff198461774bd1348f1a,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Closed
2776797524,feat,7f7ff31f49ae12b8c502a6e197bfb509879728f3,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Closed
2776797524,feat,82ae1087c621ff00f38f111ff662bd03df879dfb,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2776797524,feat,a1e893f3bef2db8b730c9316642339dbf0c8cae2,Feature Completion or Extension,Feature Completion or Extension,Feature Completion or Extension,Closed
2776797524,feat,fabd9f86b1b085dc939578cc5df11d0044668b48,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2776825485,feat,059afcae607b447caadeff198461774bd1348f1a,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Closed
2776825485,feat,7f7ff31f49ae12b8c502a6e197bfb509879728f3,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Closed
2776825485,feat,82ae1087c621ff00f38f111ff662bd03df879dfb,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2776825485,feat,a1e893f3bef2db8b730c9316642339dbf0c8cae2,Feature Completion or Extension,Feature Completion or Extension,Feature Completion or Extension,Closed
2776825485,feat,fabd9f86b1b085dc939578cc5df11d0044668b48,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2776831778,feat,059afcae607b447caadeff198461774bd1348f1a,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Closed
2776831778,feat,7f7ff31f49ae12b8c502a6e197bfb509879728f3,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Closed
2776831778,feat,82ae1087c621ff00f38f111ff662bd03df879dfb,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2776831778,feat,a1e893f3bef2db8b730c9316642339dbf0c8cae2,Feature Completion or Extension,Feature Completion or Extension,Feature Completion or Extension,Closed
2776831778,feat,c4ce06b3adca89e259024abfed8c509b63b9953c,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Closed
2776831778,feat,fabd9f86b1b085dc939578cc5df11d0044668b48,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2777919004,feat,18b89db42d8f2e34a4228c34fbfaf5bfeed1b3be,Code Convention Conformance,Code Convention Conformance,Code Convention Conformance,Closed
2777919004,feat,377630c746b33cf6c4b19794ddbed07f51184046,Code Convention Conformance,Code Convention Conformance,Code Convention Conformance,Closed
2782215003,feat,1896b3fe3f79716f9097653650443eab2ca64a2b,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2782215003,feat,6e3b6742c79611f94eb5f718c7229164937c0aa4,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2782215003,feat,aa317b10ba1ee17de795c0c8cd425197b921d397,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2782215003,feat,af25d9eeda43605865445b1d43cce203be57c236,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Closed
2783286259,feat,0b3bc08b7b339d19c273c9e625c4ceb5b0aa33ec,Code Convention Conformance,Code Convention Conformance,Code Convention Conformance,Closed
2783286259,feat,0de67e7818c2b60d624a00e27cfc24713b2947d2,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2783286259,feat,2f38a95becb033aeda0a5eed04918bdcad8460e7,Test and Validation Adjustment,Functional Correctness Repair,Functional Correctness Repair,Closed
2783286259,feat,3b257b8bc7d6958635314de2990cd37d52914310,Code Convention Conformance,Code Convention Conformance,Code Convention Conformance,Closed
2783286259,feat,4c9b44cdebccf52c3145037050193b06dbbedf50,Code Convention Conformance,Code Convention Conformance,Code Convention Conformance,Closed
2783286259,feat,c46cbcaad7fdbf225febfeb1edc194ffafc11c43,Code Convention Conformance,Code Convention Conformance,Code Convention Conformance,Closed
2784488870,fix,090b965e1887c8b39fbf863729d6debdd1c9cfa5,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2791079062,feat,fc1d21700c690930bbce492ee7c543315cedb880,Feature Completion or Extension,Feature Completion or Extension,Feature Completion or Extension,Closed
2793293460,feat,fcc2e022038a901d99aa7120e6fe75588e29ea3d,Structural Refactoring,Project Integration and Environment Maintenance,Structural Refactoring,Closed
2797405312,refactor,063d52fc7539077a4703fc61ac132a7c25d8854e,Code Convention Conformance,Code Convention Conformance,Code Convention Conformance,Closed
2797405312,refactor,4a6d72c6ea41aa5baf9c82b799ce27b2f476694a,Test and Validation Adjustment,Test and Validation Adjustment,Test and Validation Adjustment,Closed
2797405312,refactor,51458d49aabed7f8823f21c3fd52ed82fb483e0d,Code Convention Conformance,Code Convention Conformance,Code Convention Conformance,Closed
2797405312,refactor,5e3d2d94087531a3a0804d765f9be265b24a8c9a,Code Convention Conformance,Code Convention Conformance,Code Convention Conformance,Closed
2797405312,refactor,84c538f0b0e0159cfcb8e772eeb430d6e094eb28,Test and Validation Adjustment,Functional Correctness Repair,Functional Correctness Repair,Closed
2797405312,refactor,8ad91a59cdc69e4a53d0a0de88483c53c99d3628,Code Convention Conformance,Code Convention Conformance,Code Convention Conformance,Closed
2797405312,refactor,95e3be26ce04672ee508663fec8412c19a326986,Code Convention Conformance,Code Convention Conformance,Code Convention Conformance,Closed
2797405312,refactor,af4d9fd5958ef211f54d7bfac06a120d37b89a73,Code Convention Conformance,Code Convention Conformance,Code Convention Conformance,Closed
2797405312,refactor,df59c6659f2975435cadcc0bd485778f62e81903,Code Convention Conformance,Code Convention Conformance,Code Convention Conformance,Closed
2797482849,fix,b75ef482bf660499c5057a910a45693f3d6f77af,Structural Refactoring,Test and Validation Adjustment,Test and Validation Adjustment,Closed
2798302866,feat,1080e6d3e0e11ed8ae926ba588c0b70e4c84e28f,User-Facing Interface and Interaction Refinement,User-Facing Interface and Interaction Refinement,User-Facing Interface and Interaction Refinement,Closed
2798302866,feat,1985999449aebc97226e41ca2eca3ed9321dde9b,Rollback or Reversion,Rollback or Reversion,Rollback or Reversion,Closed
2798302866,feat,3d811955ed1c16e588a38f837b69f8df3a82de6b,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2798302866,feat,4dbcacd53832ecff10de70797436315de7e51c56,User-Facing Interface and Interaction Refinement,Other,User-Facing Interface and Interaction Refinement,Closed
2798302866,feat,f7ad4430bf122fe3f9f78f876d16f94f5d6c5b07,Rollback or Reversion,Rollback or Reversion,Rollback or Reversion,Closed
2799104941,feat,a5cc630b386d32475cf40f1b7268339c22a4caa1,Feature Completion or Extension,Feature Completion or Extension,Feature Completion or Extension,Closed
2800769710,feat,0f44c6b7a840a0c568d7e8be666b07c6a96875f7,User-Facing Interface and Interaction Refinement,User-Facing Interface and Interaction Refinement,User-Facing Interface and Interaction Refinement,Closed
2800769710,feat,69cc6f348d431b9e604269657920814659b2c0c2,User-Facing Interface and Interaction Refinement,Functional Correctness Repair,Functional Correctness Repair,Closed
2802436731,fix,f9cb6486162b2c8b92b9939d3f14450bdba1cbcd,Structural Refactoring,Code Cleanup,Code Cleanup,Closed
2812399095,fix,01cda23c3d4dfc67687c97518cffa24886bd9158,Feature Completion or Extension,Feature Completion or Extension,Feature Completion or Extension,Closed
2812399095,fix,0af459cc5e9c1e2d7a7d12a70bf0b100170ac56e,Test and Validation Adjustment,Test and Validation Adjustment,Test and Validation Adjustment,Closed
2812399095,fix,0d63d7afaeff790009499a43d9d3b7cacc0acecf,Rollback or Reversion,Functional Correctness Repair,Rollback or Reversion,Closed
2812399095,fix,1b352bb5808553248b722922b6e948df006be08d,Test and Validation Adjustment,Test and Validation Adjustment,Test and Validation Adjustment,Closed
2812399095,fix,1d969160947e89269c4f79d3fb4732403c22fe5f,Feature Completion or Extension,User-Facing Interface and Interaction Refinement,Feature Completion or Extension,Closed
2812399095,fix,1ebff11e0140479aa04c26d6d36fb85ababaaa14,Code Cleanup,Code Cleanup,Code Cleanup,Closed
2812399095,fix,213db55dd9a5dde455f6592c2df4ab27fb48abd1,Test and Validation Adjustment,Test and Validation Adjustment,Test and Validation Adjustment,Closed
2812399095,fix,235a0ed4cb19cdce34dd53ddc5cc9890833df212,User-Facing Interface and Interaction Refinement,User-Facing Interface and Interaction Refinement,User-Facing Interface and Interaction Refinement,Closed
2812399095,fix,2dbf810aa899136055927f908dbf4340390bdf7e,Test and Validation Adjustment,Test and Validation Adjustment,Test and Validation Adjustment,Closed
2812399095,fix,4caaa7411a4b187bcb7de8681f82a972027004a1,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Closed
2812399095,fix,754d3efcf114d7ad7e63435f6a1ecd046e52e946,Functional Correctness Repair,User-Facing Interface and Interaction Refinement,User-Facing Interface and Interaction Refinement,Closed
2812399095,fix,83ce2d6962fb889f2102eca31814ecfd5e41f88f,Structural Refactoring,Structural Refactoring,Structural Refactoring,Closed
2812399095,fix,89f2a57b604faf5ead88ec56230544f4da375ac6,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2812399095,fix,927383b82a97380f8134122cd89f382f2277ab76,User-Facing Interface and Interaction Refinement,User-Facing Interface and Interaction Refinement,User-Facing Interface and Interaction Refinement,Closed
2812399095,fix,9d1f515d6dc44de18fa68004af56c9c2050f8ba4,User-Facing Interface and Interaction Refinement,User-Facing Interface and Interaction Refinement,User-Facing Interface and Interaction Refinement,Closed
2812399095,fix,ae21fa051cf25d3cde577133f1229483cc8e1693,User-Facing Interface and Interaction Refinement,User-Facing Interface and Interaction Refinement,User-Facing Interface and Interaction Refinement,Closed
2812399095,fix,ae94b64fa08f90c068e32b2f643d192dd908c60c,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2812399095,fix,b62c875bf504a141958dbc43cc3e8293c93a332e,Test and Validation Adjustment,Test and Validation Adjustment,Test and Validation Adjustment,Closed
2812399095,fix,b9c5a621f4860833f8519ee6b153fbc65953d725,Test and Validation Adjustment,Test and Validation Adjustment,Test and Validation Adjustment,Closed
2812399095,fix,c55b36805ddfba2f4858ac819c0cac47e238fb78,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Closed
2812399095,fix,f0a6efd84ae5872de2934b551a7cd394d6063739,User-Facing Interface and Interaction Refinement,User-Facing Interface and Interaction Refinement,User-Facing Interface and Interaction Refinement,Closed
2812399095,fix,f8e7368a63a1542eff44b9615532c4af3a230882,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Closed
2815602191,feat,05a03d0595a20bab3f1def5a40fb17c10a0acc54,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2815602191,feat,3101e5b72a339975817871f53f84df11c29d81a1,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2815602191,feat,682626bb0da1aafee3e1c0ea1ac98d9657154a7a,Code Convention Conformance,Functional Correctness Repair,Code Convention Conformance,Closed
2815602191,feat,73302426681c87fa61cddc59aa5148c4d9694cd8,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Closed
2815602191,feat,80ac4b38f23cf16eafc84881a0bbb1be5422a513,User-Facing Interface and Interaction Refinement,User-Facing Interface and Interaction Refinement,User-Facing Interface and Interaction Refinement,Closed
2815602191,feat,8425ebf764bcc365bf8aefa05c7fe3f1a77a76ab,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2815602191,feat,d23bc7121f8572662ec1d6b4c88178aeae3fa22b,User-Facing Interface and Interaction Refinement,User-Facing Interface and Interaction Refinement,User-Facing Interface and Interaction Refinement,Closed
2815602191,feat,df3dbced3ac4466e4a3472e7d33dc27849c54ddf,User-Facing Interface and Interaction Refinement,User-Facing Interface and Interaction Refinement,User-Facing Interface and Interaction Refinement,Closed
2817177399,fix,1f49fbc2a800ed6359a6a69a4d757cae5bff35b3,Feature Completion or Extension,Feature Completion or Extension,Feature Completion or Extension,Closed
2817177399,fix,223a8d37421c8bd952864d167bc5d1abc474db69,Code Cleanup,Code Cleanup,Code Cleanup,Closed
2817177399,fix,5f6f61bc8394aa7df7aed34425503db92c127235,Feature Completion or Extension,Feature Completion or Extension,Feature Completion or Extension,Closed
2817177399,fix,78b5d605f5fa4c23885030cdc1bd3c29b2588777,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2817177399,fix,7d11c16e54360e2868c2f5478e7474728c956b9e,Structural Refactoring,Structural Refactoring,Structural Refactoring,Closed
2817177399,fix,98ad2b35c1fc4842a9898cff6b775b5a94ccd80a,Feature Completion or Extension,Feature Completion or Extension,Feature Completion or Extension,Closed
2817177399,fix,9dd900430fbe28442c279cb20151925180d6356e,Structural Refactoring,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Closed
2817177399,fix,bbd2f6e590751759d50e67f4719682dea4a0ffe8,Code Cleanup,Code Cleanup,Code Cleanup,Closed
2817177399,fix,c350368ff43f8a818893fdece1a171ce600550a4,Feature Completion or Extension,Feature Completion or Extension,Feature Completion or Extension,Closed
2817177399,fix,c4f30f86bfcb5d72c15fae255d83550304abb73e,Feature Completion or Extension,Feature Completion or Extension,Feature Completion or Extension,Closed
2817177399,fix,d8067d52aaa9a0350e6b5dbaad59eacce37db05e,Feature Completion or Extension,Feature Completion or Extension,Feature Completion or Extension,Closed
2817177399,fix,da5327216b361e24e72e04b1cd1bd306fdbf1e2d,Feature Completion or Extension,Feature Completion or Extension,Feature Completion or Extension,Closed
2817177399,fix,e4b04214b2c5187fad98136b205564136cb19127,Feature Completion or Extension,Feature Completion or Extension,Feature Completion or Extension,Closed
2817177399,fix,e83284ca84aedd90bda574e51b277786b24b975c,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Closed
2817177399,fix,f449f397414d71904b2f381b69e4a30f95c40d42,Structural Refactoring,Structural Refactoring,Structural Refactoring,Closed
2822168236,feat,6449d70241d7a0a1a38e02c83fdaed4874157b1e,Code Cleanup,Code Cleanup,Code Cleanup,Closed
2825772024,feat,369a88a75321cea83c79973b9ff23707f7ffc24b,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2825772024,feat,4e0fe244d57c6ad814657ec3dd28c492e97a7717,Project Integration and Environment Maintenance,Functional Correctness Repair,Project Integration and Environment Maintenance,Closed
2825772024,feat,5e90dc826afd20212e2e8a4ce4c93db6812cf128,Functional Correctness Repair,Feature Completion or Extension,Feature Completion or Extension,Closed
2825772024,feat,b190d9344f90beadf5d96ef038b087feff0c6004,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2825772024,feat,be45c0f63a07a5d249cdd19d2f6bcdd05d2e89c5,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2825772024,feat,db67557694efd04189b77c69b8c290d3fe390170,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2825772024,feat,dcf6b6b2c7b67074f3975bdfff72fe3d9356c461,Project Integration and Environment Maintenance,Functional Correctness Repair,Functional Correctness Repair,Closed
2825772024,feat,e90aba4b2119b57b8376a930599f4c3707ddd9f7,User-Facing Interface and Interaction Refinement,Structural Refactoring,Structural Refactoring,Closed
2825772024,feat,f74daf948fe628c2dbe8ad8b97d5d9f279e2a813,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2802436731,fix,f9cb6486162b2c8b92b9939d3f14450bdba1cbcd,Structural Refactoring,Code Cleanup,Code Cleanup,Closed
2825772024,feat,fdde554ab37960afa4aab70411eca40cf5c21304,Functional Correctness Repair,Feature Completion or Extension,Functional Correctness Repair,Closed
2827862538,feat,2288bbfddcc1070d14aa38a7ededb5840fdf26dc,Functional Correctness Repair,Feature Completion or Extension,Functional Correctness Repair,Closed
2827862538,feat,38f5f40f66b27092cca083220dd8b43c9b2e9aad,Project Integration and Environment Maintenance,Documentation,Documentation,Closed
2827862538,feat,6537f9011013198407949145b88557979346d78f,User-Facing Interface and Interaction Refinement,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Closed
2827862538,feat,843add331929e93ff8ff6367e101eddcf5e45080,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2827862538,feat,dbc37c6f3164480aff0bd36710b5a9b8049aa2b6,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2832531846,refactor,2c11d21910050ebf1f88f20de9d0f87c5f7c0c6c,Code Cleanup,Code Cleanup,Code Cleanup,Closed
2834395087,feat,3e81971e12ec4ce6a9eac0250a831167fdb0d895,Functional Correctness Repair,Other,Functional Correctness Repair,Closed
2840540666,fix,509b3394ac954966b7cd11e58617cdaf1f1ee4a1,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Closed
2841184790,fix,509b3394ac954966b7cd11e58617cdaf1f1ee4a1,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Closed
2843181529,fix,5cf9db3fdb3d61af93b2a0992bc22e1c6541846d,Feature Completion or Extension,Feature Completion or Extension,Feature Completion or Extension,Closed
2844207207,test,34afa0f0069edbe5372b45a55c7b63ebcf7dbe35,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Closed
2844207207,test,e6669685a4ee0d44fc8a5193611d8710f47ed41a,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Closed
2844251494,refactor,017bf659c008b03c5860c017f3fdc27c27bcceae,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Project Integration and Environment Maintenance,Closed
2850852315,fix,00c2f5043e80be88dc3337d5e57a73358f5ca11a,Other,Other,Other,Closed
2850852315,fix,14503bc43b763b797dc52cf466ab900cd27c8d76,User-Facing Interface and Interaction Refinement,Other,User-Facing Interface and Interaction Refinement,Closed
2850852315,fix,1cb5f57864965395949f138e48736eec5ee8cc05,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2850852315,fix,4eaa8755ebb3c71e97703d0f7edcb848b89686b2,User-Facing Interface and Interaction Refinement,Documentation,Documentation,Closed
2850852315,fix,7dc47adb5c28b140caa14ad74abbce29e8727058,Functional Correctness Repair,Functional Correctness Repair,Functional Correctness Repair,Closed
2850852315,fix,90f1bee6025a2bfdc2f4d7ef5531805c727f090e,Feature Completion or Extension,Feature Completion or Extension,Feature Completion or Extension,Closed
2850852315,fix,96a7e8038fa7c24e5510fdd64f37879a345374c6,Functional Correctness Repair,Other,Functional Correctness Repair,Closed
2850852315,fix,ac819bcb6ee6ad95888ba051e173a31492a1f59d,Feature Completion or Extension,Feature Completion or Extension,Feature Completion or Extension,Closed
2850852315,fix,b6d668fc664c5f376626f06acdf48f9f462884e2,Feature Completion or Extension,Feature Completion or Extension,Feature Completion or Extension,Closed
